,precision,recall,f1-score,support
Acaro_Araña_Roja_Dos_Puntos,0.9691119691119691,0.996031746031746,0.9823874755381603,252.0
Mancha_Bacteriana,1.0,0.996875,0.9984350547730829,320.0
Mancha_Diana,0.9902912621359223,0.966824644549763,0.9784172661870504,211.0
Mancha_Foliar_Por_Septoria,0.9887640449438202,0.9924812030075187,0.9906191369606003,266.0
Moho_Foliar,0.9859154929577465,0.9790209790209791,0.9824561403508772,143.0
Saludable,0.9916666666666667,0.99581589958159,0.9937369519832986,239.0
Tizon_Tardio,0.9929824561403509,0.9860627177700348,0.9895104895104895,287.0
Tizon_Temprano,0.9797297297297297,0.9666666666666667,0.9731543624161074,150.0
Virus_Mosaico,0.9824561403508771,1.0,0.9911504424778761,56.0
Virus_rizado_amarillo,0.9987577639751553,1.0,0.9993784959602238,804.0
accuracy,0.9912023460410557,0.9912023460410557,0.9912023460410557,0.9912023460410557
macro avg,0.9879675526012237,0.9879778856628298,0.9879245816157767,2728.0
weighted avg,0.9912527007975284,0.9912023460410557,0.9911925787891797,2728.0
